0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,lavender,dark-tan,dark-beige,dark-tan,pale-sage,light-lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,white,dark-beige,medium-brown,dark-beige,pale-gold,pale-gold,bronze,medium-brown,medium-brown,brass,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,light-lavender,medium-brown,medium-brown,pale-gold,pale-gold,pale-gold,bronze,rosewood,medium-brown,bronze,bronze,bronze,light-rose,white,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,light-lavender,dark-beige,medium-brown,pale-gold,pale-gold,pale-gold,bronze,rosewood,pale-gold,pale-gold,pale-gold,pale-gold,bronze,bronze,light-rose,very-light-blue,very-light-blue,very-light-blue
very-light-blue,white,dark-beige,pale-gold,medium-brown,pale-gold,dark-tan,bronze,rosewood,pale-gold,pale-gold,pale-gold,pale-gold,pale-gold,pale-gold,bronze,dark-beige,pale-sage,very-light-blue,very-light-blue
very-light-blue,pale-sage,pale-gold,pale-gold,medium-brown,bronze,dark-beige,rosewood,dark-tan,dark-tan,medium-gold,pale-gold,pale-gold,pale-gold,pale-gold,bronze,bronze,dark-beige,grey,very-light-blue
white,brass,pale-gold,pale-gold,pale-gold,rosewood,brass,dark-tan,medium-gold,medium-gold,medium-gold,medium-gold,pale-gold,pale-gold,pale-gold,pale-gold,bronze,bronze,light-rose,very-light-blue
pale-pink,dark-beige,rosewood,pale-gold,dark-tan,medium-brown,brass,medium-brown,dark-beige,dark-tan,dark-tan,dark-beige,bronze,medium-brown,rosewood,rosewood,rosewood,rosewood,brass,very-light-blue
pink,pale-gold,pale-gold,rosewood,dark-beige,medium-brown,dark-tan,dark-tan,dark-beige,dark-beige,dark-beige,dark-beige,dark-beige,medium-gold,pale-gold,pale-gold,pale-gold,bronze,medium-brown,grey
pale-sage,pale-gold,pale-gold,pale-gold,antique-brass,medium-brown,dark-tan,salmon,salmon,salmon,dark-tan,dark-tan,dark-tan,medium-gold,medium-gold,pale-gold,pale-gold,pale-gold,bronze,light-lavender
lavender,bronze,pale-gold,pale-gold,medium-brown,medium-brown,medium-brown,dark-tan,salmon,dark-tan,salmon,dark-tan,medium-gold,medium-gold,medium-gold,pale-gold,pale-gold,pale-gold,bronze,light-lavender
light-lavender,medium-brown,medium-brown,antique-brass,pale-gold,medium-gold,dark-tan,medium-brown,dark-beige,salmon,salmon,medium-gold,medium-gold,medium-gold,medium-gold,pale-gold,pale-gold,pale-gold,bronze,light-lavender
white,pale-gold,pale-gold,rosewood,medium-brown,medium-gold,medium-gold,medium-gold,dark-beige,medium-brown,dark-beige,dark-tan,medium-gold,medium-gold,dark-tan,pale-gold,pale-gold,bronze,medium-brown,white
very-light-blue,dark-tan,pale-gold,medium-brown,pale-gold,medium-brown,medium-gold,medium-gold,medium-gold,medium-gold,dark-beige,brass,medium-brown,dark-tan,dark-tan,pale-gold,pale-gold,bronze,dark-beige,very-light-blue
very-light-blue,pale-peach,pale-gold,medium-brown,medium-gold,pale-gold,medium-brown,medium-gold,medium-gold,medium-gold,medium-gold,medium-gold,pale-gold,rosewood,rosewood,medium-brown,bronze,medium-brown,light-lavender,very-light-blue
very-light-blue,very-light-blue,salmon,medium-brown,medium-gold,medium-gold,bronze,pale-gold,medium-gold,medium-gold,medium-gold,medium-gold,medium-gold,pale-gold,pale-gold,bronze,rosewood,dark-beige,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,dark-beige,pale-gold,pale-gold,medium-gold,rosewood,pale-gold,pale-gold,pale-gold,pale-gold,pale-gold,pale-gold,pale-gold,bronze,dark-beige,white,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,salmon,pale-gold,pale-gold,pale-gold,rosewood,pale-gold,pale-gold,pale-gold,pale-gold,pale-gold,bronze,dark-beige,white,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,pale-pink,dark-tan,pale-gold,bronze,rosewood,bronze,pale-gold,bronze,medium-brown,pale-sage,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,white,pink,pale-sage,medium-grey,pale-sage,light-lavender,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
