color,strings,packages
antique-brass,2,0.00625
black,7,0.021875
blue-violet,26,0.08125
brass,2,0.00625
bronze,38,0.11875
dark-beige,3,0.009375
dark-grey,7,0.021875
dark-lavender,7,0.021875
dark-purple,26,0.08125
green,120,0.375
grey,13,0.040625
kelly-green,1,0.003125
lavender,5,0.015625
light-aqua,1,0.003125
light-lavender,2,0.00625
mahogany,1,0.003125
medium-brown,4,0.0125
medium-forest-green,2,0.00625
medium-grey,11,0.034375
moss-green,5,0.015625
pewter,1,0.003125
rainforest,5,0.015625
rosewood,1,0.003125
sea-green,5,0.015625
terra-cotta,9,0.028125
very-light-blue,86,0.26875
white,10,0.03125
