0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
very-light-blue,medium-grey,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,medium-grey,very-light-blue
light-lavender,dark-grey,antique-brass,medium-grey,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,white,medium-grey,antique-brass,dark-grey,light-lavender
lavender,dark-grey,dark-grey,antique-brass,dark-grey,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-grey,dark-grey,antique-brass,dark-grey,dark-grey,medium-grey
dark-grey,dark-grey,dark-grey,medium-grey,dark-grey,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,lavender,dark-grey,medium-grey,dark-grey,dark-grey,dark-grey
dark-grey,medium-grey,dark-grey,medium-grey,medium-grey,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,medium-grey,medium-grey,dark-grey,medium-grey,dark-grey
dark-grey,dark-grey,antique-brass,dark-grey,medium-grey,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,medium-grey,dark-grey,antique-brass,dark-grey,dark-grey
dark-grey,dark-grey,dark-grey,medium-grey,dark-grey,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-grey,dark-grey,medium-grey,dark-grey,dark-grey,dark-grey
lavender,dark-grey,dark-grey,antique-brass,dark-grey,dark-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,dark-grey,dark-grey,antique-brass,dark-grey,dark-grey,lavender
grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,lavender,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,grey
very-light-blue,medium-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,lavender,very-light-blue,very-light-blue,lavender,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,medium-grey,very-light-blue
very-light-blue,grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,medium-grey,medium-grey,medium-grey,medium-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,grey,very-light-blue
very-light-blue,very-light-blue,medium-grey,medium-grey,dark-grey,dark-grey,dark-grey,antique-brass,medium-grey,medium-grey,medium-grey,medium-grey,antique-brass,dark-grey,dark-grey,dark-grey,medium-grey,medium-grey,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,medium-grey,dark-grey,dark-grey,antique-brass,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,antique-brass,dark-grey,dark-grey,medium-grey,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,medium-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,dark-grey,medium-grey,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,lavender,dark-grey,dark-grey,dark-grey,dark-grey,lavender,light-lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
