css,yarn
rosybrown,dk beige
darksalmon,dark tan
saddlebrown,dark tan
sienna,pale gold
brown,brown
tomato,dark coral
crimson,bright red
firebrick,mahogony
maroon,mahogony
indianred,pale peach
lightcoral,pale peach
salmon,pale peach
lightpink,pale peach
pink,pale peach
mistyrose,ecru
lavenderblush,ecru
linen,ecru
snow,ecru
ghostwhite,ecru
whitesmoke,ecru
white,white
lavender,dark grey
gainsboro,dark grey
lightgray,dark grey
silver,dark grey
darkgrey,anyo brass
grey,anyo brass
dimgrey,anyo brass
darkslategray,pewter
black,black
