color,strings,packages
antique-brass,16,0.05
black,1745,5.453125
blue-violet,2,0.00625
brass,1,0.003125
bright-red,3,0.009375
bright-yellow,7,0.021875
burgundy,2,0.00625
coffee,4,0.0125
cornflower,5,0.015625
dark-green,3,0.009375
dark-grey,29,0.090625
dark-lavender,1,0.003125
dark-red,4,0.0125
grey,1,0.003125
kelly-green,3,0.009375
lavender,2,0.00625
light-aqua,11,0.034375
light-blue,3,0.009375
light-lavender,1,0.003125
light-orange,5,0.015625
light-teal,4,0.0125
lime,5,0.015625
medium-brown,1,0.003125
medium-grey,4,0.0125
orange,6,0.01875
pewter,18,0.05625
red,3,0.009375
sea-green,1,0.003125
spring-green,3,0.009375
straw-yellow,4,0.0125
terra-cotta,1,0.003125
yellow,2,0.00625
