0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,dark-grey,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,pewter,black,pewter,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,pewter,black,pewter,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,antique-brass,black,black,black,antique-brass,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,pewter,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,antique-brass,black,pewter,antique-brass,antique-brass,pewter,brass,orange,red,red,dark-red,burgundy,coffee,coffee,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,dark-grey,medium-grey,lavender,grey,light-lavender,medium-grey,dark-grey,antique-brass,black,lime,lime,yellow,straw-yellow,light-orange,light-orange,orange,orange,bright-red,red,dark-red,burgundy,coffee,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,pewter,dark-grey,dark-grey,antique-brass,black,antique-brass,black,black,black,dark-green,pewter,dark-green,black,dark-grey,light-aqua,light-aqua,light-aqua,spring-green,lime,bright-yellow,bright-yellow,yellow,straw-yellow,light-orange,orange,orange,orange,bright-red,bright-red,dark-red,dark-red,coffee,black,black
black,black,black,black,black,black,black,black,black,black,black,black,pewter,kelly-green,dark-grey,kelly-green,black,black,black,black,pewter,black,black,black,black,black,black,black,black,black,dark-grey,dark-grey,cornflower,cornflower,light-aqua,light-aqua,light-aqua,light-aqua,spring-green,lime,bright-yellow,bright-yellow,bright-yellow,straw-yellow,straw-yellow,light-orange,light-orange,terra-cotta,black,black
black,black,black,black,black,black,black,black,black,kelly-green,dark-grey,dark-grey,pewter,black,black,black,black,black,black,black,pewter,black,black,black,black,black,black,black,black,black,pewter,black,black,black,black,blue-violet,cornflower,cornflower,light-blue,light-teal,light-teal,light-aqua,light-aqua,spring-green,lime,bright-yellow,bright-yellow,medium-brown,black,black
black,black,black,black,black,antique-brass,dark-grey,dark-grey,antique-brass,black,black,black,black,black,black,black,black,black,black,antique-brass,black,black,black,black,black,black,black,black,black,black,black,antique-brass,black,black,black,black,black,black,black,blue-violet,dark-lavender,cornflower,light-blue,light-aqua,light-teal,light-teal,light-aqua,sea-green,black,black
black,black,pewter,dark-grey,antique-brass,black,black,black,black,black,black,black,black,black,black,black,black,black,black,pewter,black,black,black,black,black,black,black,black,black,black,black,black,dark-green,black,black,black,black,black,black,black,black,black,black,pewter,dark-grey,lavender,light-blue,dark-grey,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,antique-brass,black,black,black,black,black,black,black,black,black,black,black,black,black,antique-brass,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
