color,strings,packages
antique-brass,101,0.315625
black,229,0.715625
brass,2,0.00625
bronze,4,0.0125
dark-beige,2,0.00625
dark-green,28,0.0875
dark-grey,75,0.234375
ecru,16,0.05
grey,68,0.2125
lavender,28,0.0875
light-lavender,20,0.0625
light-straw,1,0.003125
medium-brown,9,0.028125
medium-gold,27,0.084375
medium-grey,94,0.29375
moss-green,43,0.134375
pale-gold,44,0.1375
pale-sage,2,0.00625
pale-yellow,39,0.121875
pewter,34,0.10625
straw-yellow,630,1.96875
vanilla,1,0.003125
very-light-blue,2024,6.325
white,37,0.115625
yellow,42,0.13125
