0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,black,black,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,black,black,black,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,black,black,brown,mahogany,black,black,black,dark-purple,black,black,black,brown,mahogany,brown,black,black,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,black,black,dark-coral,dark-tan,pale-peach,pale-peach,dark-tan,mahogany,black,black,black,dark-coral,bright-red,dark-tan,dark-tan,dark-tan,bright-red,brown,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,black,brown,bright-red,dark-tan,white,white,white,white,dark-tan,black,black,bright-red,dark-tan,ecru,white,white,white,dark-tan,dark-coral,black,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,brown,bright-red,bright-red,white,white,white,white,white,dark-tan,dark-coral,bright-red,bright-red,pale-peach,white,white,white,white,pale-peach,bright-red,brown,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,black,black,bright-red,bright-red,bright-red,dark-tan,dark-tan,dark-tan,pale-peach,pale-peach,bright-red,bright-red,bright-red,bright-red,dark-tan,dark-tan,bright-red,dark-tan,pale-peach,dark-tan,bright-red,dark-coral,black,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple,dark-purple
