0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,brown,mahogany,coffee,black,black,black,black,black,black,brown,mahogany,brown,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,coffee,dark-coral,dark-pink,pink,pink,dark-pink,dark-red,black,black,black,dark-coral,orange,dark-pink,salmon,dark-pink,orange,coffee,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,brown,orange,salmon,very-light-blue,very-light-blue,very-light-blue,white,dark-pink,coffee,coffee,dark-rose,dark-pink,pale-pink,very-light-blue,very-light-blue,very-light-blue,salmon,dark-rose,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,brown,orange,orange,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,salmon,dark-coral,orange,orange,pink,very-light-blue,very-light-blue,very-light-blue,very-light-blue,pink,orange,coffee,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,coffee,orange,orange,orange,salmon,dark-pink,dark-pink,pale-pink,pink,orange,orange,orange,orange,dark-pink,dark-pink,orange,salmon,pale-pink,dark-pink,orange,dark-coral,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,dark-coral,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,brown,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,dark-red,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,dark-coral,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,brown,orange,orange,dark-rose,brass,medium-grey,lavender,medium-grey,dark-coral,orange,orange,orange,orange,dark-coral,light-rose,medium-grey,lavender,light-rose,dark-rose,orange,orange,orange,orange,orange,burgundy,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,dark-rose,orange,medium-brown,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-grey,light-rose,light-rose,medium-grey,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,light-lavender,dark-coral,orange,orange,orange,orange,orange,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,dark-rose,orange,brown,pewter,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,dark-rose,orange,orange,orange,orange,dark-rose,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,coffee,dark-rose,dark-rose,black,black,black,black,antique-brass,black,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,very-light-blue,very-light-blue,light-rose,orange,orange,orange,orange,orange,dark-rose,brown,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,dark-red,orange,dark-rose,black,black,black,black,black,black,coffee,antique-brass,white,very-light-blue,white,dark-grey,black,white,very-light-blue,very-light-blue,very-light-blue,dark-grey,antique-brass,very-light-blue,very-light-blue,white,dark-red,orange,orange,orange,orange,orange,orange,terra-cotta,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,dark-rose,orange,orange,black,black,black,black,black,coffee,dark-coral,orange,burgundy,black,black,black,black,black,black,dark-grey,dark-grey,black,burgundy,orange,dark-pink,salmon,dark-pink,dark-rose,dark-red,burgundy,mahogany,dark-rose,orange,orange,orange,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,mahogany,orange,orange,dark-red,black,black,black,dark-red,orange,orange,orange,orange,orange,burgundy,black,mahogany,dark-red,dark-red,dark-red,terra-cotta,dark-rose,orange,orange,orange,orange,orange,orange,orange,dark-red,dark-red,orange,orange,dark-rose,black,black,black,black,black,black,black,black
