0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,medium-grey,lavender,lavender,lavender,lavender,lavender,lavender,lavender,medium-grey,medium-grey,lavender,medium-grey,black,black,black,medium-grey,lavender,medium-grey,dark-grey,lavender,lavender,lavender,lavender,lavender,lavender,lavender,medium-grey,antique-brass,lavender,lavender,black,black,black,dark-grey,lavender,lavender,antique-brass,lavender,lavender,lavender,lavender,lavender,lavender,lavender,lavender,black,black,black,black
black,black,black,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,white,very-light-blue,grey,black,black,black,white,very-light-blue,grey,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,dark-grey,very-light-blue,very-light-blue,black,black,black,medium-grey,very-light-blue,very-light-blue,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,black,black,black,black
black,black,black,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,white,very-light-blue,grey,black,black,black,white,very-light-blue,grey,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,dark-grey,very-light-blue,very-light-blue,black,black,black,medium-grey,very-light-blue,very-light-blue,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,black,black,black,black
black,black,black,medium-grey,very-light-blue,very-light-blue,medium-grey,medium-grey,medium-grey,very-light-blue,very-light-blue,grey,white,very-light-blue,grey,black,black,black,white,very-light-blue,grey,medium-grey,very-light-blue,very-light-blue,very-light-blue,lavender,medium-grey,medium-grey,medium-grey,medium-grey,dark-grey,very-light-blue,very-light-blue,black,black,black,medium-grey,very-light-blue,very-light-blue,antique-brass,white,very-light-blue,lavender,medium-grey,medium-grey,grey,very-light-blue,very-light-blue,black,black,black,black
black,black,black,lavender,very-light-blue,grey,black,black,black,white,very-light-blue,grey,white,very-light-blue,grey,black,black,black,white,very-light-blue,grey,black,grey,very-light-blue,very-light-blue,grey,black,black,black,black,dark-grey,very-light-blue,very-light-blue,black,black,black,medium-grey,very-light-blue,very-light-blue,kelly-green,very-light-blue,very-light-blue,dark-green,black,black,medium-grey,very-light-blue,very-light-blue,black,black,black,black
