0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,mahogany,rosewood,rosewood,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,rosewood,brass,moss-green,mahogany,rosewood,rosewood,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,mahogany,rosewood,rosewood,brass,mahogany,brown,brown,brown,rosewood,rosewood,moss-green,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,mahogany,rosewood,moss-green,brown,brass,mahogany,brown,moss-green,mahogany,mahogany,mahogany,brass,mahogany,moss-green,moss-green,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,mahogany,rosewood,mahogany,mahogany,rosewood,brass,medium-brown,mahogany,mahogany,moss-green,moss-green,mahogany,mahogany,medium-brown,medium-brown,rosewood,mahogany,mahogany,rosewood,mahogany,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
