0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,mahogany,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,moss-green,brass,brass,brass,brass,brass,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,rosewood,brass,rosewood,mahogany,brown,mahogany,rosewood,brass,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,moss-green,rosewood,brass,medium-brown,moss-green,brown,brown,mahogany,brown,brown,rosewood,brass,moss-green,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,mahogany,rosewood,brass,moss-green,mahogany,brass,rosewood,brown,brown,mahogany,mahogany,mahogany,mahogany,mahogany,brass,moss-green,moss-green,rosewood,moss-green,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,rosewood,brass,mahogany,brown,mahogany,rosewood,medium-brown,moss-green,mahogany,mahogany,rosewood,medium-brown,mahogany,mahogany,mahogany,rosewood,brass,moss-green,brown,mahogany,rosewood,rosewood,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee
coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,mahogany,rosewood,moss-green,brown,mahogany,brass,medium-brown,brass,medium-brown,moss-green,mahogany,mahogany,moss-green,moss-green,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,brass,moss-green,brown,mahogany,rosewood,rosewood,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee
coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,moss-green,rosewood,mahogany,mahogany,brass,brass,rosewood,mahogany,mahogany,brass,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,rosewood,mahogany,rosewood,brass,brass,moss-green,brown,moss-green,rosewood,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee
coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,moss-green,rosewood,brown,moss-green,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,moss-green,mahogany,mahogany,mahogany,rosewood,medium-brown,rosewood,mahogany,mahogany,rosewood,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,brown
coffee,coffee,brown,brown,brown,brown,brown,brown,brown,moss-green,moss-green,brown,rosewood,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,rosewood,mahogany,mahogany,mahogany,brass,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,rosewood,mahogany,brown,brown,brown,brown,brown,brown,brown,brown
coffee,brown,brown,brown,brown,brown,brown,brown,moss-green,rosewood,brown,rosewood,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,brass,mahogany,mahogany,brass,brown,brown,brown,brown,brown,brown,coffee,coffee
coffee,brown,brown,brown,brown,brown,brown,mahogany,rosewood,brown,rosewood,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,brass,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,brass,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,brass,mahogany,mahogany,rosewood,brown,brown,brown,brown,brown,brown,coffee
coffee,brown,brown,brown,brown,brown,brown,brass,mahogany,moss-green,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,brass,moss-green,moss-green,medium-brown,medium-brown,brass,brass,medium-brown,medium-brown,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,brass,mahogany,moss-green,mahogany,brown,brown,brown,brown,brown,brown
